name,hash_name,wear,url,price_usd,quantity,scraped_at
AK-47 | Aphrodite (Battle-Scarred),AK-47 | Aphrodite (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Battle-Scarred%29,16.99,748,2026-07-09T11:26:15.808637
AK-47 | Aphrodite (Factory New),AK-47 | Aphrodite (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Factory%20New%29,596.32,52,2026-07-09T11:26:15.808692
AK-47 | Aphrodite (Field-Tested),AK-47 | Aphrodite (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Field-Tested%29,24.87,797,2026-07-09T11:26:15.808740
AK-47 | Aphrodite (Minimal Wear),AK-47 | Aphrodite (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Minimal%20Wear%29,52.22,660,2026-07-09T11:26:15.808784
AK-47 | Aphrodite (Well-Worn),AK-47 | Aphrodite (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Well-Worn%29,17.33,794,2026-07-09T11:26:15.808828
AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Battle-Scarred%29,44.89,42,2026-07-09T11:26:15.808872
AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Factory%20New%29,259.72,47,2026-07-09T11:26:15.808914
AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Field-Tested%29,51.71,157,2026-07-09T11:26:15.808955
AK-47 | Aquamarine Revenge (Minimal Wear),AK-47 | Aquamarine Revenge (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Minimal%20Wear%29,88.49,90,2026-07-09T11:26:15.808997
AK-47 | Aquamarine Revenge (Well-Worn),AK-47 | Aquamarine Revenge (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Well-Worn%29,43.17,58,2026-07-09T11:26:15.809039
AK-47 | Asiimov (Battle-Scarred),AK-47 | Asiimov (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Asiimov%20%28Battle-Scarred%29,55.0,48,2026-07-09T11:26:17.754514
